trial,family,schedule,seed,held_site,rows,agents,positive_rate,reference_prior,brier,brier_lift,auroc,auprc,ece,log_loss,training_weighted_brier,clipping_fraction,source_constant_prior_brier,source_constant_prior_lift
logistic_main_only_seed17_fold0,logistic,main_only,17,ETH,81,5,0.7283950617283951,0.45454545454545453,0.2826449910513619,-0.009815687919028593,0.598613251155624,0.8069759146627473,0.3163092343760325,0.8200888331723164,0.1251853403521207,0.0,0.27607036880805447,-0.00657462224330746
logistic_main_only_seed17_fold1,logistic,main_only,17,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.4874672545164352,-0.1673810382786689,0.4116279069767442,0.39805567003152453,0.4639101861741481,2.3753261470135563,0.021197067471769807,0.0,0.2479353168156664,-0.23953193770076878
logistic_main_only_seed29_fold0,logistic,main_only,29,ETH,81,5,0.7283950617283951,0.45454545454545453,0.2826449910513619,-0.009815687919028593,0.598613251155624,0.8069759146627473,0.3163092343760325,0.8200888331723164,0.1251853403521207,0.0,0.27607036880805447,-0.00657462224330746
logistic_main_only_seed29_fold1,logistic,main_only,29,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.4874672545164352,-0.1673810382786689,0.4116279069767442,0.39805567003152453,0.4639101861741481,2.3753261470135563,0.021197067471769807,0.0,0.2479353168156664,-0.23953193770076878
logistic_main_only_seed43_fold0,logistic,main_only,43,ETH,81,5,0.7283950617283951,0.45454545454545453,0.2826449910513619,-0.009815687919028593,0.598613251155624,0.8069759146627473,0.3163092343760325,0.8200888331723164,0.1251853403521207,0.0,0.27607036880805447,-0.00657462224330746
logistic_main_only_seed43_fold1,logistic,main_only,43,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.4874672545164352,-0.1673810382786689,0.4116279069767442,0.39805567003152453,0.4639101861741481,2.3753261470135563,0.021197067471769807,0.0,0.2479353168156664,-0.23953193770076878
logistic_source_only_seed17_fold-1,logistic,source_only,17,ETH,81,5,0.7283950617283951,0.45454545454545453,0.3448034686863617,-0.07197416555402836,0.40832049306625573,0.729423301778496,0.3718116079563862,0.8942916933764007,0.24193812215148658,0.0005414478315014348,0.27607036880805447,-0.06873309987830722
logistic_source_only_seed17_fold-1,logistic,source_only,17,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.25121845881038735,0.06886775742737894,0.550562640660165,0.478467294676967,0.09110927853390612,0.6969879121429429,0.24193812215148658,0.0005414478315014348,0.2479353168156664,-0.003283141994720934
logistic_source_only_seed29_fold-1,logistic,source_only,29,ETH,81,5,0.7283950617283951,0.45454545454545453,0.3448034686863617,-0.07197416555402836,0.40832049306625573,0.729423301778496,0.3718116079563862,0.8942916933764007,0.24193812215148658,0.0005414478315014348,0.27607036880805447,-0.06873309987830722
logistic_source_only_seed29_fold-1,logistic,source_only,29,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.25121845881038735,0.06886775742737894,0.550562640660165,0.478467294676967,0.09110927853390612,0.6969879121429429,0.24193812215148658,0.0005414478315014348,0.2479353168156664,-0.003283141994720934
logistic_source_only_seed43_fold-1,logistic,source_only,43,ETH,81,5,0.7283950617283951,0.45454545454545453,0.3448034686863617,-0.07197416555402836,0.40832049306625573,0.729423301778496,0.3718116079563862,0.8942916933764007,0.24193812215148658,0.0005414478315014348,0.27607036880805447,-0.06873309987830722
logistic_source_only_seed43_fold-1,logistic,source_only,43,Hotel,284,26,0.45422535211267606,0.7228915662650602,0.25121845881038735,0.06886775742737894,0.550562640660165,0.478467294676967,0.09110927853390612,0.6969879121429429,0.24193812215148658,0.0005414478315014348,0.2479353168156664,-0.003283141994720934
logistic_mixed_seed17_fold0,logistic,mixed,17,ETH,81,5,0.7283950617283951,0.45454545454545453,0.28873711706757155,-0.015907813935238213,0.5562403697996918,0.7822661755245889,0.2934700977362429,0.7822202657907998,0.21171879761349582,0.0,0.27607036880805447,-0.01266674825951708
