view,locality,rows,selected,selected_known_ADE,predicted_risk_violations,selected_positive_harm_mean,selected_net_gain_mean
neural_fold0_seed17_easy_product_original,eu-locality-008,161653,51176,50167,0,1.4561619878929384,1.0798917667463825
neural_fold0_seed17_easy_product_original,eu-locality-020,1282,292,265,0,1.07724365596448,-0.5198885169747078
neural_fold0_seed17_easy_product_original,eu-locality-048,8344,2437,2374,0,2.0798532116770376,2.6002788677679036
neural_fold0_seed17_easy_product_original,eu-locality-067,7105,2013,1960,0,1.3100470208856023,4.412716656787584
neural_fold0_seed17_easy_product_original,eu-locality-110,8660,3407,3369,0,0.31179283658364426,4.403247709313242
neural_fold0_seed17_easy_product_original,eu-locality-119,5787,1674,1646,0,0.6895051704583036,4.699475996529815
neural_fold0_seed17_easy_product_original,eu-locality-124,3651,1040,1028,0,0.8216011476960785,3.816065753818597
neural_fold0_seed17_easy_hurdle_original,eu-locality-007,5664,992,976,0,0.4069026753675188,0.9728987542538061
neural_fold0_seed17_easy_hurdle_original,eu-locality-008,161653,20648,20386,0,0.06618440837828299,0.4836775526451183
neural_fold0_seed17_easy_hurdle_original,eu-locality-020,1282,239,217,0,0.01241171067166899,0.5824377660018031
neural_fold0_seed17_easy_hurdle_original,eu-locality-048,8344,786,774,0,0.05099191073276523,0.32872852077978276
neural_fold0_seed17_easy_hurdle_original,eu-locality-067,7105,679,666,0,0.21720259227278454,2.0174562500146167
neural_fold0_seed17_easy_hurdle_original,eu-locality-110,8660,1033,1024,0,0.04007769777547414,1.8523858322495088
neural_fold0_seed17_easy_hurdle_original,eu-locality-119,5787,405,402,0,0.03092277380051151,0.30173088801672804
neural_fold0_seed17_easy_hurdle_original,eu-locality-124,3651,340,339,0,0.09200212058016376,0.9157706006696616
neural_fold0_seed17_easy_product_common,eu-locality-007,5664,1939,1887,0,0.7524512764380392,1.9374169892263016
neural_fold0_seed17_easy_product_common,eu-locality-008,161653,51176,50167,0,1.4561619878929384,1.0798917667463825
neural_fold0_seed17_easy_product_common,eu-locality-020,1282,292,265,0,1.07724365596448,-0.5198885169747078
neural_fold0_seed17_easy_product_common,eu-locality-048,8344,2437,2374,0,2.0798532116770376,2.6002788677679036
neural_fold0_seed17_easy_product_common,eu-locality-067,7105,2013,1960,0,1.3100470208856023,4.412716656787584
neural_fold0_seed17_easy_product_common,eu-locality-110,8660,3407,3369,0,0.31179283658364426,4.403247709313242
neural_fold0_seed17_easy_product_common,eu-locality-119,5787,1674,1646,0,0.6895051704583036,4.699475996529815
neural_fold0_seed17_easy_product_common,eu-locality-124,3651,1040,1028,0,0.8216011476960785,3.816065753818597
neural_fold0_seed17_easy_hurdle_common,eu-locality-007,5664,992,976,0,0.4069026753675188,0.9728987542538061
neural_fold0_seed17_easy_hurdle_common,eu-locality-008,161653,20648,20386,0,0.06618440837828299,0.4836775526451183
neural_fold0_seed17_easy_hurdle_common,eu-locality-020,1282,239,217,0,0.01241171067166899,0.5824377660018031
neural_fold0_seed17_easy_hurdle_common,eu-locality-048,8344,786,774,0,0.05099191073276523,0.32872852077978276
neural_fold0_seed17_easy_hurdle_common,eu-locality-067,7105,679,666,0,0.21720259227278454,2.0174562500146167
neural_fold0_seed17_easy_hurdle_common,eu-locality-110,8660,1033,1024,0,0.04007769777547414,1.8523858322495088
neural_fold0_seed17_easy_hurdle_common,eu-locality-119,5787,405,402,0,0.03092277380051151,0.30173088801672804
neural_fold0_seed17_easy_hurdle_common,eu-locality-124,3651,340,339,0,0.09200212058016376,0.9157706006696616
neural_fold0_seed17_easy_hurdle_at_product,eu-locality-007,5664,1939,1892,947,0.6605319960296162,1.756169787059372
neural_fold0_seed17_easy_hurdle_at_product,eu-locality-008,161653,51176,50464,30528,0.5677451954709379,1.1370538046641046
neural_fold0_seed17_easy_hurdle_at_product,eu-locality-020,1282,292,263,53,0.8353301825170079,-0.22037219932586224
neural_fold0_seed17_easy_hurdle_at_product,eu-locality-048,8344,2437,2383,1651,0.7113598056687049,2.1850767575404797
neural_fold0_seed17_easy_hurdle_at_product,eu-locality-067,7105,2013,1979,1334,0.5766541521351491,3.1052807494194514
neural_fold0_seed17_easy_hurdle_at_product,eu-locality-110,8660,3407,3376,2374,0.16491891271831569,2.7317791706714836
neural_fold0_seed17_easy_hurdle_at_product,eu-locality-119,5787,1674,1654,1269,0.4325081883220677,1.4001361663728908
neural_fold0_seed17_easy_hurdle_at_product,eu-locality-124,3651,1040,1033,700,0.1705010453416043,2.7091516423391595
neural_fold0_seed17_easy_product_at_hurdle,eu-locality-007,5664,992,971,0,0.4911098578090685,1.5098505373770672
neural_fold0_seed17_easy_product_at_hurdle,eu-locality-008,161653,20648,20286,0,0.8098511753491417,1.3886540773374576
neural_fold0_seed17_easy_product_at_hurdle,eu-locality-020,1282,239,215,0,0.07857846607860006,0.5079661805128668
neural_fold0_seed17_easy_product_at_hurdle,eu-locality-048,8344,786,766,0,2.3028132472987655,1.6028929053345071
neural_fold0_seed17_easy_product_at_hurdle,eu-locality-067,7105,679,664,0,1.2932306087127132,4.193214533174131
neural_fold0_seed17_easy_product_at_hurdle,eu-locality-110,8660,1033,1021,0,0.4307209726316721,5.137035975941156
neural_fold0_seed17_easy_product_at_hurdle,eu-locality-119,5787,405,401,0,0.6277903865470136,3.580426857437967
neural_fold0_seed17_easy_product_at_hurdle,eu-locality-124,3651,340,335,0,0.8455906772183336,4.426169644305695
damping097_fold0_seed17_all_product_original,eu-locality-007,5664,2005,1954,0,0.13208654405467687,1.2307761237814865
