view,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99
neural_fold0_seed17_all_product_original,all,eu-locality-007,5526,13.649314190294604,13.731098649130566,0.5956148224245728,45.46996216957987,78.0568687212355
neural_fold0_seed17_all_product_original,all,eu-locality-008,157961,18.123161185772585,18.214515006924465,0.5015440768922574,63.93770529957694,131.07735380983715
neural_fold0_seed17_all_product_original,all,eu-locality-020,1225,6.48401179205412,6.529874789510041,0.7023564606414512,20.950455289077674,42.958840384020256
neural_fold0_seed17_all_product_original,all,eu-locality-048,8058,26.592188362984054,26.698045849916497,0.39649900793310433,89.53631371759984,159.87620296789643
neural_fold0_seed17_all_product_original,all,eu-locality-067,6903,28.904572641833724,29.011553933538778,0.3687540900088715,93.15038154789627,168.12420050513032
neural_fold0_seed17_all_product_original,all,eu-locality-110,8550,30.562931221524234,30.697946977148565,0.43982014733700003,121.9052045177577,272.09246013351503
neural_fold0_seed17_all_product_original,all,eu-locality-119,5639,28.84602011694587,28.946880038043894,0.34843106049933237,114.3522798565831,201.6878989025234
neural_fold0_seed17_all_product_original,all,eu-locality-124,3550,42.2428421203061,42.613481942133895,0.8697712670630797,185.78449691130842,333.55000293878123
neural_fold0_seed17_all_product_original,easy,eu-locality-007,2133,1.8087426021498696,1.8525004364762494,2.362095763368033,4.3425750371488006,4.715958687040434
neural_fold0_seed17_all_product_original,easy,eu-locality-008,52276,2.2203130424817563,2.3343046202023725,4.883320571534222,4.416793332845668,4.720834538038045
neural_fold0_seed17_all_product_original,easy,eu-locality-020,695,1.6551044995619195,1.6834998531827923,1.6866858388605799,4.272902529712657,4.645577515453056
neural_fold0_seed17_all_product_original,easy,eu-locality-048,2050,2.1645417670742098,2.2919612794697164,5.559409468949983,4.394829503836421,4.7284678675619505
neural_fold0_seed17_all_product_original,easy,eu-locality-067,1508,2.057344052872339,2.126958008841005,3.27293513455863,4.367635170702144,4.669750317456567
neural_fold0_seed17_all_product_original,easy,eu-locality-110,2579,2.194957917401575,2.356118809479549,6.840100398569171,4.394804927134569,4.712512414684768
neural_fold0_seed17_all_product_original,easy,eu-locality-119,1658,2.2334064573735115,2.3455260977767742,4.780148918809147,4.378402614053734,4.6783721837605805
neural_fold0_seed17_all_product_original,easy,eu-locality-124,1006,2.459738837409998,2.5758364727079335,4.507181901026658,4.514137894705504,4.723574157667932
neural_fold0_seed17_all_product_original,hard,eu-locality-007,1023,41.13219792330855,41.40975627894383,0.6702728549417003,80.85850932778332,114.47062363973248
neural_fold0_seed17_all_product_original,hard,eu-locality-008,36762,52.58199932945203,52.67518424564873,0.17690477504954671,124.12452806526093,214.7139157672607
neural_fold0_seed17_all_product_original,hard,eu-locality-020,47,37.60165778915696,37.60165778915696,0.0,59.47714101421315,69.16719818649797
neural_fold0_seed17_all_product_original,hard,eu-locality-048,2992,57.350809884383814,57.46856971561877,0.20491171403375086,127.04537659092452,211.57685641932093
neural_fold0_seed17_all_product_original,hard,eu-locality-067,2806,57.88575861704238,58.07941434406488,0.3334326442675173,131.50085187164876,207.56503644827586
neural_fold0_seed17_all_product_original,hard,eu-locality-110,2743,79.6173939432077,79.7697476849151,0.1909918811692668,230.4341792808899,408.99645159228305
neural_fold0_seed17_all_product_original,hard,eu-locality-119,1895,70.69076608352819,70.83322967903267,0.2011253703241067,177.35436104322963,275.16663244604706
neural_fold0_seed17_all_product_original,hard,eu-locality-124,1362,98.04502838435359,98.83231481672954,0.7965880732793362,276.35977095428353,452.5517041469119
neural_fold0_seed17_all_hurdle_original,all,eu-locality-007,5526,13.470682163978422,13.731098649130566,1.896545147672013,45.33443719301822,77.55082635851304
neural_fold0_seed17_all_hurdle_original,all,eu-locality-008,157961,17.927468468536528,18.214515006924465,1.575921940709446,63.490665842937005,130.2732183606517
neural_fold0_seed17_all_hurdle_original,all,eu-locality-020,1225,6.436690195923645,6.529874789510041,1.4270502358803672,20.950455289077674,42.958840384020256
neural_fold0_seed17_all_hurdle_original,all,eu-locality-048,8058,26.37361441993608,26.698045849916497,1.2151879272521038,88.57552882402547,159.70769630922467
neural_fold0_seed17_all_hurdle_original,all,eu-locality-067,6903,28.49092643615438,29.011553933538778,1.794552262099025,92.6387549360034,168.12420050513032
neural_fold0_seed17_all_hurdle_original,all,eu-locality-110,8550,30.119334527061902,30.697946977148565,1.884857155162134,120.90612228783687,267.89394377614184
neural_fold0_seed17_all_hurdle_original,all,eu-locality-119,5639,28.719164686363968,28.946880038043894,0.7866663052482625,114.31522229375783,201.6878989025234
neural_fold0_seed17_all_hurdle_original,all,eu-locality-124,3550,41.96403560147826,42.613481942133895,1.5240396021558134,183.35779447274274,333.55000293878123
neural_fold0_seed17_all_hurdle_original,easy,eu-locality-007,2133,1.7881651647290326,1.8525004364762494,3.4728883448790215,4.2791801847770925,4.740048263449418
