kind,rule,ADE_gain_percent,ADE_CI_low,ADE_CI_high,hard_gain_percent,positive_easy_degradation_percent,mean_switch_percent,zero_safe_seed_count,worst_zero_absolute_harm,sum_seed_unknown_selected_rows
constant,positive_gain,7.633080843114259,5.96322487698451,9.302157577621328,10.657509119427717,21.709675066868343,88.4134823277726,0,32.33295038433929,6906
constant,harm_fraction_0p1,0.0,0.0,0.0,0.0,-0.0,0.0,3,0.0,0
ridge_raw,positive_gain,7.545659171903243,6.026322696770111,9.255858276334672,10.248645466145646,15.875006767456112,70.67885781044933,0,32.33295038433929,5357
ridge_raw,harm_fraction_0p1,0.1327926799416318,0.013123423445632332,0.3504370708021759,0.011336750281665253,-0.31691209964932743,1.3202014914616478,0,6.197328618970246,33
ridge_clipped,positive_gain,7.538739555882401,6.020188414452152,9.25351121772883,10.24814523311284,15.890146795334886,70.58497765842037,0,32.33295038433929,5357
ridge_clipped,harm_fraction_0p1,0.12587306392078113,0.01236269108383925,0.3319693623277692,0.010836517248846711,-0.3017720717705591,1.2263213394326984,0,6.197328618970246,33
mse,positive_gain,5.573841028717549,3.3982375726584584,7.806862687908103,7.762499649700636,7.111092224053012,30.246288414999583,0,19.684395973813263,2178
mse,harm_fraction_0p1,1.291942217896369,0.5110216460377737,2.3008505052371704,1.739588553676491,0.5856928243632764,2.7926974517702567,0,12.562308246371906,283
underharm4,positive_gain,4.451807016723763,2.5262190950419043,6.027827727849188,6.234971575012279,3.832620348891874,15.810934856657335,0,15.72876409490833,1216
underharm4,harm_fraction_0p1,0.3403951071678041,0.018799234258015662,0.8675569716748988,0.4014610542520669,0.10152789189628308,0.8415075445503994,2,0.4503355022655274,48
