arm,seed,scene,easy_degradation_pct,ADE_gain_pct,source,json_pointer
forest_ratio,17,deathCircle,-0.13423740875900814,5.761105579854031,fraction_square_v1,/summaries/forest_ratio/seeds/17
forest_ratio,17,gates,-1.0956779612771195,2.055332126075926,fraction_square_v1,/summaries/forest_ratio/seeds/17
forest_ratio,17,hyang,-0.9671268107912079,2.73770440816985,fraction_square_v1,/summaries/forest_ratio/seeds/17
forest_ratio,29,coupa,-5.190055441657937,3.9745722637485215,fraction_square_v1,/summaries/forest_ratio/seeds/29
forest_ratio,29,deathCircle,-0.2595155010906347,5.416761311826567,fraction_square_v1,/summaries/forest_ratio/seeds/29
forest_ratio,29,gates,-0.9050623056876206,1.949928743856888,fraction_square_v1,/summaries/forest_ratio/seeds/29
forest_ratio,29,hyang,-0.8400735702545847,2.460613783947063,fraction_square_v1,/summaries/forest_ratio/seeds/29
forest_ratio,43,coupa,-4.956491198451641,4.007198546500545,fraction_square_v1,/summaries/forest_ratio/seeds/43
forest_ratio,43,deathCircle,-0.1799780529579631,5.646567194681706,fraction_square_v1,/summaries/forest_ratio/seeds/43
forest_ratio,43,gates,-0.7048428507091087,1.89805584801781,fraction_square_v1,/summaries/forest_ratio/seeds/43
forest_ratio,43,hyang,-0.9653263353891939,2.4172268172195865,fraction_square_v1,/summaries/forest_ratio/seeds/43
square_gain,17,coupa,2.3720326973907913,4.08720621216937,fraction_square_v1,/summaries/square_gain/seeds/17
square_gain,17,deathCircle,1.1623681325643176,6.013615893447866,fraction_square_v1,/summaries/square_gain/seeds/17
square_gain,17,gates,1.5216487227662112,1.9743752768518585,fraction_square_v1,/summaries/square_gain/seeds/17
square_gain,17,hyang,1.2235886036312538,3.669370917357484,fraction_square_v1,/summaries/square_gain/seeds/17
square_gain,29,coupa,2.5088713689821684,3.7692213522361184,fraction_square_v1,/summaries/square_gain/seeds/29
square_gain,29,deathCircle,0.8146002945443431,5.789218531306862,fraction_square_v1,/summaries/square_gain/seeds/29
square_gain,29,gates,0.949339219425549,2.126109198384929,fraction_square_v1,/summaries/square_gain/seeds/29
square_gain,29,hyang,1.0663211225946378,3.3305986482461525,fraction_square_v1,/summaries/square_gain/seeds/29
square_gain,43,coupa,1.8610841748803342,3.973844848560004,fraction_square_v1,/summaries/square_gain/seeds/43
square_gain,43,deathCircle,0.7716175944553649,5.89089471597839,fraction_square_v1,/summaries/square_gain/seeds/43
square_gain,43,gates,1.9393946490515734,2.0363579991538705,fraction_square_v1,/summaries/square_gain/seeds/43
square_gain,43,hyang,0.8536548017898937,3.4037173884304828,fraction_square_v1,/summaries/square_gain/seeds/43
log_gain,17,coupa,2.558292792474215,3.9785636141351333,fraction_square_v1,/summaries/log_gain/seeds/17
log_gain,17,deathCircle,0.8154971635770281,6.064805480073421,fraction_square_v1,/summaries/log_gain/seeds/17
log_gain,17,gates,1.8260189847198571,1.9575968831600843,fraction_square_v1,/summaries/log_gain/seeds/17
log_gain,17,hyang,1.201556514895885,3.6314795675900235,fraction_square_v1,/summaries/log_gain/seeds/17
log_gain,29,coupa,2.4725681476324146,3.742615436800001,fraction_square_v1,/summaries/log_gain/seeds/29
log_gain,29,deathCircle,0.8677538858353318,5.849116498926321,fraction_square_v1,/summaries/log_gain/seeds/29
log_gain,29,gates,1.6678312346174229,2.07795484227673,fraction_square_v1,/summaries/log_gain/seeds/29
log_gain,29,hyang,1.0341968753941888,3.308512221575155,fraction_square_v1,/summaries/log_gain/seeds/29
log_gain,43,coupa,2.002118235680439,3.9623159992690393,fraction_square_v1,/summaries/log_gain/seeds/43
log_gain,43,deathCircle,1.087602854074099,5.9823387209560375,fraction_square_v1,/summaries/log_gain/seeds/43
log_gain,43,gates,1.7040022250946363,2.0555680432174372,fraction_square_v1,/summaries/log_gain/seeds/43
log_gain,43,hyang,0.894237459540137,3.3222221591150958,fraction_square_v1,/summaries/log_gain/seeds/43
forest_gain,17,coupa,2.702291119277822,4.285419626473441,fraction_square_v1,/summaries/forest_gain/seeds/17
forest_gain,17,deathCircle,0.8569257613066039,6.240321494306533,fraction_square_v1,/summaries/forest_gain/seeds/17
forest_gain,17,gates,1.5405114123343333,2.201439930127369,fraction_square_v1,/summaries/forest_gain/seeds/17
forest_gain,17,hyang,1.2113581737970058,3.8308512311044485,fraction_square_v1,/summaries/forest_gain/seeds/17
forest_gain,29,coupa,2.6126304503064413,4.210102766389923,fraction_square_v1,/summaries/forest_gain/seeds/29
forest_gain,29,deathCircle,0.6477756261740186,6.026675831458606,fraction_square_v1,/summaries/forest_gain/seeds/29
forest_gain,29,gates,1.5598276327368543,2.1847244099675756,fraction_square_v1,/summaries/forest_gain/seeds/29
forest_gain,29,hyang,1.0157173059383462,3.656539970562267,fraction_square_v1,/summaries/forest_gain/seeds/29
forest_gain,43,coupa,2.5519011507060707,4.205297404371223,fraction_square_v1,/summaries/forest_gain/seeds/43
forest_gain,43,deathCircle,0.8513292884591461,6.141645412544583,fraction_square_v1,/summaries/forest_gain/seeds/43
forest_gain,43,gates,1.5521270653682029,2.205821800847463,fraction_square_v1,/summaries/forest_gain/seeds/43
forest_gain,43,hyang,0.9976677950927826,3.7013698998949796,fraction_square_v1,/summaries/forest_gain/seeds/43
