model,predictor,ADE_gain_pct,ADE_CI_low,ADE_CI_high,FDE_gain_pct,hard_gain_pct,easy_degradation_pct,worst_site_easy_degradation_pct,source,json_pointer,arm,worst_site_seed_easy_degradation_pct,observed_easy_ceiling_pass,selected,selected_unknown,selected_incomplete,zero_CV_harmed
"Square neural, strict",eqmotion_fixed_head_ramp_action,3.4470745095567987,2.2911991196171657,4.88462302372225,4.976381150014337,3.5894840671204182,-1.470236304733033,0.25479945971251805,fraction_square_v1,/summaries/square_strict,square_strict,1.0915508498386073,True,37030,606,5680,0
"Log neural, strict",eqmotion_fixed_head_ramp_action,3.3975597827503194,2.296465959716837,4.869451569943267,4.900294660680525,3.675494017178408,-1.2493481077696607,0.3875013988535514,fraction_square_v1,/summaries/log_strict,log_strict,0.911485108707355,True,33793,575,5210,1
"Square neural, risk rank",eqmotion_fixed_head_ramp_action,2.5996961298074632,1.3329697058965917,3.8989209887239107,3.824821236813892,2.5847415521014288,-1.7184495397785997,-0.26212202352019487,fraction_square_v1,/summaries/square_ratio,square_ratio,0.10712790105387171,True,22539,329,2917,0
"Log neural, risk rank",eqmotion_fixed_head_ramp_action,2.806973348939175,1.5808638614654202,4.124461906865001,4.12166975569216,2.9714271638904277,-1.5083784561284843,-0.057625963654239776,fraction_square_v1,/summaries/log_ratio,log_ratio,0.16376244638507398,True,22539,353,3023,0
"Forest, risk rank",eqmotion_fixed_head_ramp_action,3.5302875859255383,2.253143621214515,4.840737272368623,5.166275991206236,3.7641377252484616,-1.7487575943578577,-0.19124365426921308,fraction_square_v1,/summaries/forest_ratio,forest_ratio,-0.13423740875900814,True,22539,190,2663,0
"Square neural, gain rank",eqmotion_fixed_head_ramp_action,3.838710915176943,2.520066653011441,5.290406198019459,5.312749454240004,5.768923448591413,1.420376781839698,2.247329413751098,fraction_square_v1,/summaries/square_gain,square_gain,2.5088713689821684,False,22539,670,5736,0
"Log neural, gain rank",eqmotion_fixed_head_ramp_action,3.8277574555912013,2.4964045296805795,5.329249670678962,5.280681905453173,5.807293294384586,1.5109730311279754,2.3443263919290303,fraction_square_v1,/summaries/log_gain,log_gain,2.558292792474215,False,22539,684,5779,0
"Forest, gain rank",eqmotion_fixed_head_ramp_action,4.0741841481706915,2.7063981850051433,5.534557443040897,5.619741225388705,6.174699274083767,1.5083385651248062,2.622274240096778,fraction_square_v1,/summaries/forest_gain,forest_gain,2.702291119277822,False,22539,585,5491,0
