arm,scene,ADE,CV_ADE,FDE,CV_FDE,ADE_p95,ADE_p99,CV_ADE_p95,ADE_rows,FDE_rows,coordinate_unit,source,json_pointer
square_strict,coupa,11.487014292371954,11.908205875359586,22.812351610531014,24.039198986980004,44.63398271625369,76.19975793348281,45.2720158430477,27778,24835,annotation_pixel,fraction_square_v1,/summaries/square_strict
square_strict,deathCircle,23.404185760140127,24.81068191340851,50.219958646671564,54.872850094151254,72.67331020651406,173.3030300644362,74.1003428865828,35760,27426,annotation_pixel,fraction_square_v1,/summaries/square_strict
square_strict,gates,19.35628519400678,19.761524366102755,44.262835390435555,45.46659279476251,62.657362813585415,113.0099539138725,63.51413075556157,20236,15306,annotation_pixel,fraction_square_v1,/summaries/square_strict
square_strict,hyang,15.520221097294415,15.923360932222653,32.250011731848204,33.48042611082892,48.20221820049225,86.65934227685943,48.7622634939038,89183,76443,annotation_pixel,fraction_square_v1,/summaries/square_strict
log_strict,coupa,11.508944727619921,11.908205875359586,22.885432517316552,24.039198986980004,44.62778454137565,76.15377427848803,45.2720158430477,27778,24835,annotation_pixel,fraction_square_v1,/summaries/log_strict
log_strict,deathCircle,23.410247061418954,24.81068191340851,50.2216765918338,54.872850094151254,72.61878991856318,173.3030300644362,74.1003428865828,35760,27426,annotation_pixel,fraction_square_v1,/summaries/log_strict
log_strict,gates,19.356694480800396,19.761524366102755,44.27285276085622,45.46659279476251,62.63263520135513,112.02464700359941,63.51413075556157,20236,15306,annotation_pixel,fraction_square_v1,/summaries/log_strict
log_strict,hyang,15.518213987924723,15.923360932222653,32.241700404069555,33.48042611082892,48.21769879070082,86.47995781429987,48.7622634939038,89183,76443,annotation_pixel,fraction_square_v1,/summaries/log_strict
square_ratio,coupa,11.54646732812657,11.908205875359586,22.974937555552497,24.039198986980004,44.933176617142074,76.74650823514496,45.2720158430477,27778,24835,annotation_pixel,fraction_square_v1,/summaries/square_ratio
square_ratio,deathCircle,23.64579059873694,24.81068191340851,50.946488524284725,54.872850094151254,73.3425997699185,179.092978135635,74.1003428865828,35760,27426,annotation_pixel,fraction_square_v1,/summaries/square_ratio
square_ratio,gates,19.533157073838293,19.761524366102755,44.79410381479499,45.46659279476251,63.01127262197811,115.83997706587799,63.51413075556157,20236,15306,annotation_pixel,fraction_square_v1,/summaries/square_ratio
square_ratio,hyang,15.682866647734862,15.923360932222653,32.73125861251478,33.48042611082892,48.626495084242926,88.02283473883573,48.7622634939038,89183,76443,annotation_pixel,fraction_square_v1,/summaries/square_ratio
log_ratio,coupa,11.533355552904817,11.908205875359586,22.951307437073098,24.039198986980004,44.71577637707544,76.6561824688533,45.2720158430477,27778,24835,annotation_pixel,fraction_square_v1,/summaries/log_ratio
log_ratio,deathCircle,23.590409805580464,24.81068191340851,50.75708680334542,54.872850094151254,73.11790073389243,177.0807294199416,74.1003428865828,35760,27426,annotation_pixel,fraction_square_v1,/summaries/log_ratio
