action,cost_head,ADE_gain_percent,ADE_ci95_low,ADE_ci95_high,FDE_gain_percent,complete_ADE_gain_percent,hard_ADE_gain_percent,worst_site_seed_easy_degradation_percent,switch_percent,zero_CV_harmed_rows_repeated,seed_gain_std
constant_position,neural,1.8166563011410588,0.9345535818156253,3.3695200662591347,1.8560240575922151,1.9761265340441452,0.6202087605203327,2.055099097245394,3.344788608449593,0,0.09674695701236449
constant_position,forest,0.7483871918239904,0.2933654919213491,1.459926364547326,0.727558810009496,0.8248672547441938,0.00038262295470326,0.34836329670686617,1.6274456253745722,0,0.13710504363474768
damped_velocity_005,neural,3.634682690175844,2.6422692738600757,4.685964407975451,4.649955325383234,3.7967865400263703,4.723212203027554,2.49439089976351,12.252023638832624,0,0.012299647978619797
damped_velocity_005,forest,1.4144143134749347,0.8490721693902914,2.16122660530835,1.9125359770500228,1.5014822076985235,1.3844298973313158,0.0,3.6888261756829546,0,0.01008554479793163
damped_velocity_010,neural,3.7447293303804114,2.420883111774408,5.459156097705117,4.661911044436357,3.9222898895469562,4.438088501062213,3.038255133902168,8.549731825181881,0,0.03822251472081174
damped_velocity_010,forest,1.27631758727938,0.7236447230472787,1.8289904515114808,1.6931347551830234,1.3889746909652776,0.8177816979234753,0.0,3.196666590803918,0,0.2495847125549976
damped_velocity_020,neural,3.7058527600795976,2.2530093740779633,5.571324990386986,4.520820087753943,3.977783635148438,3.651461924304458,3.737404918633813,6.020467769711038,0,0.2492781471841967
damped_velocity_020,forest,1.1047977054265607,0.3930129680187938,2.1732406554452464,1.3774428178983666,1.2218018908307622,0.2342867550196942,0.0,2.894163878710637,0,0.014536676117261492
constant_acceleration_causal,neural,-0.0014339071006619353,-0.0027921553816590006,-7.565881966486998e-05,-0.0021849016874242455,-0.0016384707236610785,-0.0006962467507531933,0.0004775105757692799,0.0013275981095002922,0,0.0012506302190790635
constant_acceleration_causal,forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
constant_turn_rate,neural,0.5635114493022009,0.2704375893791078,0.856585309225294,0.6910914762515069,0.6210331125260843,0.7478467359224361,1.484622252302703,0.5594877747179802,0,0.04594948164693345
constant_turn_rate,forest,0.003912387338020351,0.0008017171185481509,0.007988347346157831,0.0033356177605692316,0.003636506442178389,0.0,0.0040986556079092296,0.011569069239931116,0,0.002534726147251791
transformer,neural,2.43682666074754,1.6792440292285882,3.111364306600029,2.694479605967964,2.565300331683121,2.291813184107186,1.066900162011275,6.675542608313041,0,0.42124562353810185
transformer,forest,1.301979507063744,0.5764057914706411,2.027553222656847,1.4393068457286466,1.4186541577593275,0.5389740876395988,0.17567576809849328,3.250718799547858,0,0.16029479226706098
